Name,Mean (ps),2*Stdev (ps)
All.insert (small).HashMapLazy.26,120008,6004
All.insert (small).HashMapStrict.26,123396,8696
All.insert (small).MapBL.26,63382,4930
All.insert (small).MapBB.26,61586,2626
All.insert (small).MapBU.26,45765,2500
All.insert (small).MapUL.26,59929,1308
All.insert (small).MapUB.26,44304,3324
All.insert (small).MapUU.26,38591,2576
All.insert (small).HashMapLazy.27,122824,6316
All.insert (small).HashMapStrict.27,124333,11394
All.insert (small).MapBL.27,64563,5764
All.insert (small).MapBB.27,62366,1924
All.insert (small).MapBU.27,46988,1856
All.insert (small).MapUL.27,60656,5606
All.insert (small).MapUB.27,44622,2892
All.insert (small).MapUU.27,38955,2616
All.insert (small).HashMapLazy.28,127725,9210
All.insert (small).HashMapStrict.28,126994,11944
All.insert (small).MapBL.28,65922,6066
All.insert (small).MapBB.28,62189,5934
All.insert (small).MapBU.28,46522,3096
All.insert (small).MapUL.28,62508,4966
All.insert (small).MapUB.28,45264,2912
All.insert (small).MapUU.28,39260,2950
All.insert (small).HashMapLazy.29,131879,11676
All.insert (small).HashMapStrict.29,127575,9340
All.insert (small).MapBL.29,66432,2446
All.insert (small).MapBB.29,64456,6430
All.insert (small).MapBU.29,50341,3124
All.insert (small).MapUL.29,65472,3648
All.insert (small).MapUB.29,46097,2606
All.insert (small).MapUU.29,40755,2404
All.insert (small).HashMapLazy.30,133495,10290
All.insert (small).HashMapStrict.30,134290,10104
All.insert (small).MapBL.30,68795,6340
All.insert (small).MapBB.30,65479,4942
All.insert (small).MapBU.30,47505,3680
All.insert (small).MapUL.30,64581,5154
All.insert (small).MapUB.30,47865,3882
All.insert (small).MapUU.30,42896,3886
All.insert (small).HashMapLazy.31,128453,6636
All.insert (small).HashMapStrict.31,133892,12070
All.insert (small).MapBL.31,69074,2346
All.insert (small).MapBB.31,66386,6004
All.insert (small).MapBU.31,53960,4272
All.insert (small).MapUL.31,68438,3372
All.insert (small).MapUB.31,47702,3756
All.insert (small).MapUU.31,41102,2156
All.insert (small).HashMapLazy.32,118474,10858
All.insert (small).HashMapStrict.32,115895,6886
All.insert (small).MapBL.32,88019,5054
All.insert (small).MapBB.32,81553,5316
All.insert (small).MapBU.32,70039,4888
All.insert (small).MapUL.32,86333,6200
All.insert (small).MapUB.32,68093,6100
All.insert (small).MapUU.32,66418,3154
All.insert (powers of two).HashMapLazy.0,9792,458
All.insert (powers of two).HashMapStrict.0,9430,628
All.insert (powers of two).MapBL.0,3911,204
All.insert (powers of two).MapBB.0,4240,358
