Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapUL.24,115983,4206,743,0,50331648
All.insert (small).HashMapUB.24,94889,7062,744,0,50331648
All.insert (small).HashMapUU.24,80581,3026,703,0,51380224
All.insert (small).Data_HashMap_Lazy.25,190186,13386,312,0,51380224
All.insert (small).Data_HashMap_Strict.25,185416,11736,313,0,51380224
All.insert (small).HashMapBL.25,121328,7184,760,0,51380224
All.insert (small).HashMapBB.25,105390,10112,759,0,51380224
All.insert (small).HashMapBU.25,94555,1608,759,0,51380224
All.insert (small).HashMapUL.25,121927,5346,760,0,51380224
All.insert (small).HashMapUB.25,90614,5506,759,0,51380224
All.insert (small).HashMapUU.25,77926,4816,719,0,51380224
All.insert (small).Data_HashMap_Lazy.26,192391,11836,321,0,51380224
All.insert (small).Data_HashMap_Strict.26,181931,14376,320,0,51380224
All.insert (small).HashMapBL.26,126762,11748,776,0,51380224
All.insert (small).HashMapBB.26,110296,4722,776,0,51380224
All.insert (small).HashMapBU.26,98546,5464,776,0,51380224
All.insert (small).HashMapUL.26,115991,7090,776,0,51380224
All.insert (small).HashMapUB.26,89231,6106,776,0,51380224
All.insert (small).HashMapUU.26,92323,9086,735,0,51380224
All.insert (small).Data_HashMap_Lazy.27,198511,12542,328,0,51380224
All.insert (small).Data_HashMap_Strict.27,165689,10206,328,0,51380224
All.insert (small).HashMapBL.27,118601,3990,792,0,51380224
All.insert (small).HashMapBB.27,109931,7756,792,0,51380224
All.insert (small).HashMapBU.27,97096,6822,792,0,51380224
All.insert (small).HashMapUL.27,129420,12520,793,0,51380224
All.insert (small).HashMapUB.27,96589,8508,792,0,51380224
All.insert (small).HashMapUU.27,81029,5908,751,0,51380224
All.insert (small).Data_HashMap_Lazy.28,170048,9562,336,0,51380224
All.insert (small).Data_HashMap_Strict.28,159172,7234,336,0,51380224
All.insert (small).HashMapBL.28,137375,7670,807,0,51380224
All.insert (small).HashMapBB.28,114253,3252,807,0,51380224
All.insert (small).HashMapBU.28,107364,10334,807,0,51380224
All.insert (small).HashMapUL.28,137262,11006,808,0,51380224
All.insert (small).HashMapUB.28,98665,4282,807,0,51380224
All.insert (small).HashMapUU.28,82376,6672,767,0,51380224
All.insert (small).Data_HashMap_Lazy.29,196353,15598,344,0,51380224
All.insert (small).Data_HashMap_Strict.29,167257,15720,343,0,51380224
All.insert (small).HashMapBL.29,125808,1002,823,0,51380224
All.insert (small).HashMapBB.29,123225,8692,824,0,51380224
All.insert (small).HashMapBU.29,96729,2926,823,0,51380224
All.insert (small).HashMapUL.29,135625,10830,824,0,51380224
All.insert (small).HashMapUB.29,107294,8584,824,0,51380224
All.insert (small).HashMapUU.29,81516,7936,783,0,51380224
All.insert (small).Data_HashMap_Lazy.30,183178,14556,353,0,51380224
All.insert (small).Data_HashMap_Strict.30,165761,15942,352,0,51380224
All.insert (small).HashMapBL.30,138615,9168,840,0,51380224
All.insert (small).HashMapBB.30,116941,2692,839,0,51380224
All.insert (small).HashMapBU.30,104362,6156,839,0,51380224
All.insert (small).HashMapUL.30,127676,10586,840,0,51380224
All.insert (small).HashMapUB.30,100101,7936,839,0,51380224
All.insert (small).HashMapUU.30,83784,6492,799,0,51380224
All.insert (small).Data_HashMap_Lazy.31,162749,13862,352,0,51380224
All.insert (small).Data_HashMap_Strict.31,166935,7888,352,0,51380224
All.insert (small).HashMapBL.31,144461,13604,856,0,51380224
All.insert (small).HashMapBB.31,117155,11032,856,0,51380224
All.insert (small).HashMapBU.31,99535,5578,855,0,51380224
All.insert (small).HashMapUL.31,128300,10706,855,0,51380224
All.insert (small).HashMapUB.31,102412,5340,855,0,51380224
All.insert (small).HashMapUU.31,82776,16530,815,0,51380224
All.insert (small).Data_HashMap_Lazy.32,212852,8460,407,0,51380224
All.insert (small).Data_HashMap_Strict.32,214021,12490,407,0,51380224
All.insert (small).HashMapBL.32,148725,11744,960,1,51380224
All.insert (small).HashMapBB.32,132441,8968,960,1,51380224
