Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapBL.18,120297,29760,647,0,50331648
All.insert (small).HashMapBB.18,103026,32254,647,0,50331648
All.insert (small).HashMapBU.18,86003,13602,647,0,50331648
All.insert (small).HashMapUL.18,101506,32472,647,0,50331648
All.insert (small).HashMapUB.18,81828,16694,647,0,50331648
All.insert (small).HashMapUU.18,70660,16768,607,0,50331648
All.insert (small).Data_HashMap_Lazy.19,161476,28408,264,0,50331648
All.insert (small).Data_HashMap_Strict.19,159788,29422,264,0,50331648
All.insert (small).HashMapBL.19,123913,29258,663,0,50331648
All.insert (small).HashMapBB.19,103271,34296,663,0,50331648
All.insert (small).HashMapBU.19,87406,21746,663,0,50331648
All.insert (small).HashMapUL.19,110630,27654,663,0,50331648
All.insert (small).HashMapUB.19,82700,24714,663,0,50331648
All.insert (small).HashMapUU.19,70142,14058,623,0,50331648
All.insert (small).Data_HashMap_Lazy.20,166239,28332,272,0,50331648
All.insert (small).Data_HashMap_Strict.20,164662,36306,272,0,50331648
All.insert (small).HashMapBL.20,129290,34476,679,0,50331648
All.insert (small).HashMapBB.20,105285,43980,679,0,50331648
All.insert (small).HashMapBU.20,79520,17730,679,0,50331648
All.insert (small).HashMapUL.20,105514,29040,679,0,50331648
All.insert (small).HashMapUB.20,82094,18884,679,0,50331648
All.insert (small).HashMapUU.20,61129,18250,639,0,50331648
All.insert (small).Data_HashMap_Lazy.21,164852,34294,280,0,50331648
All.insert (small).Data_HashMap_Strict.21,171981,38278,280,0,50331648
All.insert (small).HashMapBL.21,127078,41046,695,0,50331648
All.insert (small).HashMapBB.21,107377,42818,695,0,50331648
All.insert (small).HashMapBU.21,90182,17484,695,0,50331648
All.insert (small).HashMapUL.21,112828,31128,695,0,50331648
All.insert (small).HashMapUB.21,83739,19434,695,0,50331648
All.insert (small).HashMapUU.21,70258,16806,655,0,50331648
All.insert (small).Data_HashMap_Lazy.22,179395,29944,288,0,50331648
All.insert (small).Data_HashMap_Strict.22,180423,26306,288,0,50331648
All.insert (small).HashMapBL.22,135157,33552,711,0,50331648
All.insert (small).HashMapBB.22,117293,26386,711,0,50331648
All.insert (small).HashMapBU.22,95559,30934,711,0,50331648
All.insert (small).HashMapUL.22,121819,37220,711,0,50331648
All.insert (small).HashMapUB.22,91720,14146,711,0,50331648
All.insert (small).HashMapUU.22,71622,19066,671,0,50331648
All.insert (small).Data_HashMap_Lazy.23,190756,64466,296,0,50331648
All.insert (small).Data_HashMap_Strict.23,186885,29810,296,0,50331648
All.insert (small).HashMapBL.23,138146,33412,727,0,50331648
All.insert (small).HashMapBB.23,113954,36958,727,0,50331648
All.insert (small).HashMapBU.23,101614,33144,727,0,50331648
All.insert (small).HashMapUL.23,125197,32652,727,0,50331648
All.insert (small).HashMapUB.23,96933,25718,727,0,50331648
All.insert (small).HashMapUU.23,69511,16660,687,0,50331648
All.insert (small).Data_HashMap_Lazy.24,193523,67860,304,0,50331648
All.insert (small).Data_HashMap_Strict.24,191851,61510,304,0,50331648
All.insert (small).HashMapBL.24,144635,26998,744,0,51380224
All.insert (small).HashMapBB.24,119343,30002,744,0,51380224
All.insert (small).HashMapBU.24,94457,15380,744,0,51380224
All.insert (small).HashMapUL.24,126377,35724,744,0,51380224
All.insert (small).HashMapUB.24,93837,13272,744,0,51380224
All.insert (small).HashMapUU.24,76655,15642,703,0,51380224
All.insert (small).Data_HashMap_Lazy.25,201025,69976,312,0,51380224
All.insert (small).Data_HashMap_Strict.25,198350,66682,312,0,51380224
All.insert (small).HashMapBL.25,142237,33432,760,0,51380224
All.insert (small).HashMapBB.25,117343,27978,760,0,51380224
All.insert (small).HashMapBU.25,104250,46718,760,0,51380224
All.insert (small).HashMapUL.25,125357,27740,760,0,51380224
All.insert (small).HashMapUB.25,100195,30000,760,0,51380224
All.insert (small).HashMapUU.25,77196,12834,719,0,51380224
All.insert (small).Data_HashMap_Lazy.26,206142,64618,320,0,51380224
All.insert (small).Data_HashMap_Strict.26,206690,74174,320,0,51380224
All.insert (small).HashMapBL.26,155434,41472,776,0,51380224
All.insert (small).HashMapBB.26,118400,26570,776,0,51380224
All.insert (small).HashMapBU.26,102184,28752,776,0,51380224
All.insert (small).HashMapUL.26,134679,34812,776,0,51380224
All.insert (small).HashMapUB.26,98007,39088,776,0,51380224
All.insert (small).HashMapUU.26,77127,18524,735,0,51380224
All.insert (small).Data_HashMap_Lazy.27,222622,59880,328,0,51380224
All.insert (small).Data_HashMap_Strict.27,217984,64740,328,0,51380224
All.insert (small).HashMapBL.27,153699,28302,792,0,51380224
All.insert (small).HashMapBB.27,122519,31664,792,0,51380224
